dataset,cell_id,a_n_pos,a_n_neg,a_early50,a_long,a_amp_abs_mAh_median,a_dur_median,b_n_pos,b_n_neg,b_early50,b_long,b_amp_abs_mAh_median,b_dur_median,c_n_pos,c_n_neg,c_early50,c_long,c_amp_abs_mAh_median,c_dur_median,reaches_eol,a_recall,a_amp_ratio_median,a_extra,b_recall,b_amp_ratio_median,b_extra,c_recall,c_amp_ratio_median,c_extra
MATR,MATR_b1c18,1,1,1,0,5.919393010790541,6.0,1,0,0,0,4.0578919638472515,2.0,1,0,0,0,4.0578919638472515,2.0,True,1.0,0.9819787028045341,0.0,1.0,0.9140978398032718,0.0,1.0,0.9140978398032718,0.0
MATR,MATR_b1c19,0,2,1,0,5.9632777669864705,6.0,0,2,1,0,3.8663119139343656,5.0,0,2,1,0,3.8663119139343656,5.0,True,1.0,0.8894406256940616,-1.0,1.0,0.9046695377245336,-1.0,1.0,0.9046695377245336,-1.0
MATR,MATR_b1c2,0,8,1,1,5.656159975573115,3.5,0,6,0,1,5.5844166124243095,2.5,0,5,0,0,5.533273822971102,2.0,True,1.0,0.8714285784167999,-2.0,1.0,0.8734305205434398,-1.0,1.0,0.8734305205434398,-1.0
MATR,MATR_b1c20,0,2,2,0,10.299743030601611,5.5,0,1,1,1,11.853907474661991,13.0,0,0,0,0,,,True,1.0,0.9145901535856,-1.0,1.0,0.9155032218155413,0.0,1.0,0.9155032218155413,1.0
MATR,MATR_b1c21,0,3,2,0,8.817124059622534,7.0,0,2,1,1,8.022011379569339,10.0,0,1,0,0,4.528112295596462,4.0,True,1.0,0.9319209171379326,0.0,1.0,0.9246342223432997,0.0,1.0,0.9246342223432997,0.0
MATR,MATR_b1c22,0,1,1,0,5.761687319082616,6.0,0,0,0,0,,,0,0,0,0,,,False,0.8,1.0678306847960068,0.0,0.8,1.0641176834060437,0.0,0.8,1.0641176834060437,0.0
MATR,MATR_b1c23,0,1,1,0,5.636840448330006,4.0,0,0,0,0,,,0,0,0,0,,,True,1.0,0.881628504238696,0.0,1.0,0.8903450097687063,0.0,1.0,0.8903450097687063,0.0
MATR,MATR_b1c24,0,3,1,0,5.043310298373808,2.0,0,3,1,0,4.134117550251456,2.0,0,3,1,0,4.134117550251456,2.0,True,1.0,0.8310923445283956,1.0,1.0,0.8320979467529747,1.0,1.0,0.8320979467529747,1.0
MATR,MATR_b1c25,0,3,1,0,3.526939938815385,6.0,0,4,1,0,2.50879102612488,3.0,0,4,1,0,2.50879102612488,3.0,True,1.0,0.860945433565983,0.0,1.0,0.8837636801353255,3.0,1.0,0.8837636801353255,3.0
MATR,MATR_b1c26,6,4,1,0,2.1893330128093824,3.0,8,4,1,0,2.069251583525328,2.5,8,4,1,0,2.069251583525328,2.5,True,0.8,0.9736525767207715,-3.0,0.8,0.97556113114439,-4.0,0.8,0.97556113114439,-4.0
MATR,MATR_b1c27,0,2,1,0,4.523271413784904,7.0,2,3,1,0,1.7033287149770373,2.0,2,3,1,0,1.7033287149770373,2.0,True,1.0,0.9984943398032384,0.0,1.0,1.0084964483247114,-3.0,1.0,1.0084964483247114,-3.0
MATR,MATR_b1c28,0,2,1,0,4.8936300402021145,4.5,0,1,0,0,3.1993875799797826,2.0,0,1,0,0,3.1993875799797826,2.0,True,1.0,0.9291833462833634,0.0,1.0,0.962313479901709,0.0,1.0,0.962313479901709,0.0
MATR,MATR_b1c29,0,2,1,1,5.166315037969845,9.5,0,2,1,0,3.05467407524711,5.5,0,2,1,0,3.05467407524711,5.5,True,1.0,0.75623446606809,0.0,1.0,0.7059381902228423,0.0,1.0,0.7059381902228423,0.0
MATR,MATR_b1c3,4,4,1,3,4.587136317409306,4.0,5,5,1,3,3.9295892956614873,2.5,4,3,0,0,3.5978739885634017,2.0,True,0.6,0.7055308258923148,2.0,0.8,0.7117103847365314,1.0,0.8,0.7117103847365314,1.0
MATR,MATR_b1c30,0,1,1,0,6.3797308143870906,8.0,1,1,0,0,2.698050530167558,3.0,1,1,0,0,2.698050530167558,3.0,True,1.0,0.9318784466717929,0.0,1.0,0.9306406286112876,0.0,1.0,0.9306406286112876,0.0
MATR,MATR_b1c31,3,2,1,0,2.5423541001359338,3.0,3,1,0,0,2.4314455686529564,2.0,3,1,0,0,2.4314455686529564,2.0,True,0.8,0.9668100906037185,2.0,0.8,0.9647399572268085,0.0,0.8,0.9647399572268085,0.0
MATR,MATR_b1c32,0,1,1,0,6.475950702685201,5.0,0,0,0,0,,,0,0,0,0,,,True,1.0,0.900064102654474,0.0,1.0,0.9309085173631071,0.0,1.0,0.9309085173631071,0.0
MATR,MATR_b1c33,3,2,1,0,3.9982300294213604,3.0,3,1,0,0,3.125533583349718,4.5,3,1,0,0,3.125533583349718,4.5,True,1.0,0.9448020118649084,0.0,1.0,0.951653703633221,1.0,1.0,0.951653703633221,1.0
MATR,MATR_b1c34,1,1,1,0,5.414240777392706,7.0,1,1,1,0,3.4567777598422094,4.0,1,1,1,0,3.4567777598422094,4.0,True,1.0,0.9387057816666768,0.0,1.0,0.9562723444226365,-1.0,1.0,0.9562723444226365,-1.0
MATR,MATR_b1c35,0,1,1,0,6.130562503032623,8.0,0,1,1,0,2.460345470433652,3.0,0,1,1,0,2.460345470433652,3.0,True,1.0,0.8718376763212438,0.0,1.0,0.8765379131796395,-1.0,1.0,0.8765379131796395,-1.0
